deal_id,rep_name,region,quarter,product_line,deal_size,new_logo
D-0443,James Park,South,Q1,Enterprise Suite,24000,N
D-0444,James Park,South,Q1,Enterprise Suite,54247,N
D-0445,James Park,South,Q1,Core Platform,6444,Y
D-0446,James Park,South,Q1,Enterprise Suite,113227,Y
D-0447,James Park,South,Q1,Enterprise Suite,19463,Y
D-0448,James Park,South,Q1,Enterprise Suite,19463,N
D-0449,James Park,South,Q1,Core Platform,14663,N
D-0450,James Park,South,Q1,Add-on Services,1775,N
D-0451,James Park,South,Q1,Core Platform,15847,N
D-0452,James Park,South,Q1,Core Platform,18674,N
D-0453,James Park,South,Q1,Core Platform,14268,Y
D-0454,James Park,South,Q1,Add-on Services,5523,N
D-0455,James Park,South,Q2,Add-on Services,8517,Y
D-0456,James Park,South,Q2,Add-on Services,9430,N
D-0457,James Park,South,Q2,Add-on Services,11863,N
D-0458,James Park,South,Q2,Core Platform,35893,N
D-0459,James Park,South,Q2,Add-on Services,14905,Y
D-0460,James Park,South,Q2,Enterprise Suite,59923,Y
D-0461,James Park,South,Q2,Add-on Services,22813,N
D-0462,James Park,South,Q2,Core Platform,62965,N
D-0463,James Park,South,Q2,Add-on Services,14905,N
D-0464,James Park,South,Q3,Core Platform,40288,N
D-0465,James Park,South,Q3,Core Platform,25399,N
D-0466,James Park,South,Q3,Core Platform,21312,N
D-0467,James Park,South,Q3,Core Platform,24231,N
D-0468,James Park,South,Q3,Core Platform,31529,N
D-0469,James Park,South,Q3,Core Platform,20436,N
D-0470,James Park,South,Q3,Core Platform,46710,Y
D-0471,James Park,South,Q3,Core Platform,20436,N
D-0472,James Park,South,Q3,Add-on Services,11678,N
D-0473,James Park,South,Q3,Add-on Services,13721,N
D-0474,James Park,South,Q3,Add-on Services,10510,Y
D-0475,James Park,South,Q3,Add-on Services,11678,N
D-0476,James Park,South,Q4,Enterprise Suite,78182,N
D-0477,James Park,South,Q4,Core Platform,8837,Y
D-0478,James Park,South,Q4,Core Platform,17050,N
D-0479,James Park,South,Q4,Add-on Services,2651,N
D-0480,James Park,South,Q4,Enterprise Suite,14035,N
D-0481,James Park,South,Q4,Add-on Services,4211,N
D-0482,James Park,South,Q4,Add-on Services,3015,N
D-0483,James Park,South,Q4,Enterprise Suite,34828,N
D-0484,James Park,South,Q4,Core Platform,13983,Y
D-0485,James Park,South,Q4,Enterprise Suite,36024,N
D-0486,Nina Petrova,South,Q1,Enterprise Suite,25409,N
D-0487,Nina Petrova,South,Q1,Core Platform,9107,Y
D-0488,Nina Petrova,South,Q1,Enterprise Suite,19230,N
D-0489,Nina Petrova,South,Q1,Core Platform,2968,N
D-0490,Nina Petrova,South,Q1,Core Platform,2846,N
D-0491,Nina Petrova,South,Q1,Core Platform,4025,Y
D-0492,Nina Petrova,South,Q1,Core Platform,1789,N
D-0493,Nina Petrova,South,Q1,Core Platform,12440,N
D-0494,Nina Petrova,South,Q1,Enterprise Suite,16669,Y
D-0495,Nina Petrova,South,Q1,Core Platform,18986,Y
D-0496,Nina Petrova,South,Q1,Core Platform,4391,N
D-0497,Nina Petrova,South,Q1,Enterprise Suite,20937,Y
D-0498,Nina Petrova,South,Q2,Core Platform,8649,N
D-0499,Nina Petrova,South,Q2,Enterprise Suite,24272,N
D-0500,Nina Petrova,South,Q2,Enterprise Suite,7567,Y
D-0501,Nina Petrova,South,Q2,Enterprise Suite,52484,N
D-0502,Nina Petrova,South,Q2,Core Platform,4708,N
D-0503,Nina Petrova,South,Q2,Core Platform,2476,N
D-0504,Nina Petrova,South,Q2,Core Platform,6068,N
D-0505,Nina Petrova,South,Q2,Core Platform,2406,Y
D-0506,Nina Petrova,South,Q2,Core Platform,6347,Y
D-0507,Nina Petrova,South,Q2,Enterprise Suite,18971,N
D-0508,Nina Petrova,South,Q2,Core Platform,3976,N
D-0509,Nina Petrova,South,Q2,Core Platform,4220,N
D-0510,Nina Petrova,South,Q2,Enterprise Suite,11682,N
D-0511,Nina Petrova,South,Q2,Core Platform,5928,Y
D-0512,Nina Petrova,South,Q3,Add-on Services,15446,N
D-0513,Nina Petrova,South,Q3,Add-on Services,10297,N
D-0514,Nina Petrova,South,Q3,Add-on Services,15446,N
D-0515,Nina Petrova,South,Q3,Add-on Services,12504,N
D-0516,Nina Petrova,South,Q3,Add-on Services,12871,N
D-0517,Nina Petrova,South,Q3,Core Platform,15629,N
D-0518,Nina Petrova,South,Q3,Core Platform,18204,N
D-0519,Nina Petrova,South,Q3,Enterprise Suite,57553,N
D-0520,Nina Petrova,South,Q3,Core Platform,9745,N
D-0521,Nina Petrova,South,Q4,Enterprise Suite,76864,N
D-0522,Nina Petrova,South,Q4,Add-on Services,2813,N
D-0523,Nina Petrova,South,Q4,Core Platform,2654,N
D-0524,Nina Petrova,South,Q4,Core Platform,5839,Y
D-0525,Nina Petrova,South,Q4,Core Platform,10192,N
D-0526,Nina Petrova,South,Q4,Enterprise Suite,32964,N
D-0527,Nina Petrova,South,Q4,Core Platform,7644,N
D-0528,Nina Petrova,South,Q4,Core Platform,10457,Y
D-0529,Nina Petrova,South,Q4,Core Platform,11678,N
D-0530,Nina Petrova,South,Q4,Core Platform,7803,N
D-0531,Nina Petrova,South,Q4,Enterprise Suite,15766,Y
